FID,STFID,OID_,AREA_HA,pop2000,hden2000,zoning
139,4.20E+14,0,24.3,4,0.08,3
140,4.20E+14,0,212.6,51,0.08,2
141,4.20E+14,0,168.5,37,0.07,2
142,4.20E+14,0,44.4,12,0.11,2
143,4.20E+14,0,22.8,0,0,1
144,4.20E+14,0,141.9,79,0.23,1
145,4.20E+14,0,14.7,0,0,1
146,4.20E+14,0,185,91,0.2,2
147,4.20E+14,0,34.4,55,0.55,1
148,4.20E+14,0,40.6,0,0,3
149,4.20E+14,0,9.1,4,0.11,1
150,4.20E+14,0,4,3,0.25,2
151,4.20E+14,0,45.5,29,0.29,1
152,4.20E+14,0,95.3,8,0.03,3
153,4.20E+14,0,80.2,3,0.02,3
154,4.20E+14,0,0.8,11,5,1
155,4.20E+14,0,114.7,148,0.48,3
156,4.20E+14,0,0.6,0,0,1
157,4.20E+14,0,14,45,1.43,1
158,4.20E+14,0,10,26,1.2,1
159,4.20E+14,0,29.9,0,0,1
160,4.20E+14,0,198.7,78,0.15,3
161,4.20E+14,0,2.8,7,0.71,1
162,4.20E+14,0,1.6,0,0,1
163,4.20E+14,0,1,0,0,2
164,4.20E+14,0,13,0,0,1
165,4.20E+14,0,72.3,33,0.19,2
166,4.20E+14,0,11.2,15,0.54,1
167,4.20E+14,0,10.1,9,0.5,2
168,4.20E+14,0,24.3,10,0.16,1
169,4.20E+14,0,0.6,3,1.67,3
170,4.20E+14,0,1,5,2,2
171,4.20E+14,0,5.3,0,0,3
172,4.20E+14,0,26.1,27,0.57,3
173,4.20E+14,0,10.7,208,7.01,1
174,4.20E+14,0,0.5,0,0,2
175,4.20E+14,0,1.3,0,0,1
176,4.20E+14,0,41.1,9,0.12,2
177,4.20E+14,0,3.1,1,0.32,2
178,4.20E+14,0,4.2,0,0,3
179,4.20E+14,0,0.9,0,0,1
180,4.20E+14,0,0.4,0,0,3
181,4.20E+14,0,0.8,4,1.25,2
182,4.20E+14,0,5.8,0,0,2
183,4.20E+14,0,0.2,2,5,1
184,4.20E+14,0,0.3,0,0,2
185,4.20E+14,0,1.1,0,0,1
186,4.20E+14,0,0.2,0,0,3
187,4.20E+14,0,1.2,2,1.67,1
188,4.20E+14,0,0.2,4,10,1
189,4.20E+14,0,2.1,0,0,2
190,4.20E+14,0,1.9,4,1.05,2
191,4.20E+14,0,0.4,0,0,3
192,4.20E+14,0,0.5,0,0,2
193,4.20E+14,0,3.8,0,0,2
194,4.20E+14,0,37.1,71,0.65,3
195,4.20E+14,0,53.2,8,0.06,3
196,4.20E+14,0,52.3,14,0.11,3
197,4.20E+14,0,128.9,42,0.16,3
198,4.20E+14,0,135.5,185,0.65,3
199,4.20E+14,0,13.9,78,2.09,2
200,4.20E+14,0,4.3,56,5.12,2
201,4.20E+14,0,0.7,6,4.29,2
202,4.20E+14,0,38,173,2.21,3
203,4.20E+14,0,5.2,48,3.85,1
204,4.20E+14,0,2.9,50,5.86,2
205,4.20E+14,0,3.2,55,7.5,2
206,4.20E+14,0,5.8,57,4.66,3
207,4.20E+14,0,0.4,184,0,2
208,4.20E+14,0,15.5,0,0,2
209,4.20E+14,0,21.8,0,0,2
210,4.20E+14,0,7.8,145,0,1
211,4.20E+14,0,3.4,9,1.18,2
212,4.20E+14,0,4.7,0,0,2
213,4.20E+14,0,0.4,0,0,3
214,4.20E+14,0,1.2,7,1.67,3
215,4.20E+14,0,55.8,55,0.52,2
216,4.20E+14,0,28.6,168,3.39,1
217,4.20E+14,0,0.1,0,0,1
218,4.20E+14,0,3.8,0,0,1
219,4.20E+14,0,3.4,4,0.59,2
220,4.20E+14,0,27.2,145,2.17,1
221,4.20E+14,0,2.9,7,1.38,2
222,4.20E+14,0,10.7,82,2.52,2
223,4.20E+14,0,8.8,0,0,3
224,4.20E+14,0,4.2,29,3.1,2
225,4.20E+14,0,7.3,100,5.07,1
226,4.20E+14,0,1.4,22,4.29,3
227,4.20E+14,0,62.3,70,0.47,3
228,4.20E+14,0,1.9,26,4.21,2
229,4.20E+14,0,10.4,3,0.19,3
230,4.20E+14,0,256.3,56,0.09,1
231,4.20E+14,0,2.3,0,0,3
232,4.20E+14,0,8.3,0,0,1
233,4.20E+14,0,47.2,5,0.11,3
234,4.20E+14,0,68.9,180,1.06,1
235,4.20E+14,0,80.8,67,0.37,1
236,4.20E+14,0,0.9,0,0,3
237,4.20E+14,0,0.8,0,0,2
238,4.20E+14,0,1.4,52,22.86,2
239,4.20E+14,0,0.9,22,10,1
240,4.20E+14,0,0.8,0,0,1
241,4.20E+14,0,1.4,16,9.29,1
242,4.20E+14,0,0.7,4,4.29,1
243,4.20E+14,0,2.1,17,5.24,3
244,4.20E+14,0,0.6,23,13.33,2
245,4.20E+14,0,3.8,19,3.42,2
246,4.20E+14,0,0.7,12,8.57,1
247,4.20E+14,0,1.4,14,5.71,2
248,4.20E+14,0,0.8,21,17.5,3
249,4.20E+14,0,0.4,25,35,3
250,4.20E+14,0,1.7,68,21.76,2
251,4.20E+14,0,1.5,12,4.67,3
252,4.20E+14,0,1.2,1,0.83,3
253,4.20E+14,0,133.5,26,0.1,1
254,4.20E+14,0,13.6,22,0.59,2
255,4.20E+14,0,0.6,0,0,3
256,4.20E+14,0,1.5,0,0,1
257,4.20E+14,0,5.3,0,0,2
258,4.20E+14,0,2.6,0,0,2
259,4.20E+14,0,0.2,0,0,1
260,4.20E+14,0,0.7,3,2.86,3
261,4.20E+14,0,2.3,0,0,3
262,4.20E+14,0,1.7,0,0,3
263,4.20E+14,0,8.5,0,0,2
264,4.20E+14,0,0.7,0,0,3
265,4.20E+14,0,0.8,0,0,1
266,4.20E+14,0,0.8,0,0,2
267,4.20E+14,0,0.6,0,0,2
268,4.20E+14,0,0.5,0,0,3
269,4.20E+14,0,0.1,0,0,1
270,4.20E+14,0,0.2,0,0,2
271,4.20E+14,0,7.4,12,0.68,2
272,4.20E+14,0,0.1,0,0,1
273,4.20E+14,0,31.4,39,0.41,1
274,4.20E+14,0,15.1,6,0.26,1
275,4.20E+14,0,31.6,40,0.57,2
276,4.20E+14,0,1.4,2,0.71,3
277,4.20E+14,0,11.2,13,0.54,2
278,4.20E+14,0,2.3,0,0,2
279,4.20E+14,0,96.2,52,0.29,3
280,4.20E+14,0,10.1,4,0.5,1
281,4.20E+14,0,2.1,24,5.24,2
282,4.20E+14,0,0.2,1,5,2
283,4.20E+14,0,1,3,1,1
284,4.20E+14,0,0.2,0,0,2
285,4.20E+14,0,0.7,1,2.86,1
286,4.20E+14,0,5.8,3,0.34,2
287,4.20E+14,0,0.5,0,0,3
288,4.20E+14,0,2.9,56,7.24,2
289,4.20E+14,0,5.6,81,7.68,3
290,4.20E+14,0,1.5,46,16,2
291,4.20E+14,0,0.8,12,6.25,2
292,4.20E+14,0,4,38,4.25,3
293,4.20E+14,0,0.6,6,6.67,1
294,4.20E+14,0,4.4,74,7.27,3
295,4.20E+14,0,3.1,44,5.48,3
296,4.20E+14,0,3,44,5.67,2
297,4.20E+14,0,154.2,33,0.12,1
298,4.20E+14,0,7.3,9,0.68,1
299,4.20E+14,0,12.8,58,1.88,1
300,4.20E+14,0,127.1,25,0.08,3
301,4.20E+14,0,11.8,41,1.1,1
302,4.20E+14,0,39,9,0.08,2
303,4.20E+14,0,72.5,34,0.19,3
304,4.20E+14,0,123,38,0.11,3
305,4.20E+14,0,13.7,4,0.07,1
306,4.20E+14,0,1,0,0,3
307,4.20E+14,0,2.5,0,0,3
308,4.20E+14,0,40.8,0,0,3
309,4.20E+14,0,1.8,0,0,3
310,4.20E+14,0,4.4,5,0.45,3
311,4.20E+14,0,1.7,3,0.59,2
312,4.20E+14,0,0.9,2,1.11,1
313,4.20E+14,0,2.7,1,0.37,3
314,4.20E+14,0,6.6,2,0.15,3
315,4.20E+14,0,16.4,14,0.3,3
316,4.20E+14,0,16.4,0,0,2
317,4.20E+14,0,0.2,7,10,1
318,4.20E+14,0,1.5,2,0.67,1
319,4.20E+14,0,0.4,0,0,1
320,4.20E+14,0,0.1,0,0,2
321,4.20E+14,0,0.1,0,10,2
322,4.20E+14,0,1.2,1,0.83,1
323,4.20E+14,0,6.5,0,0,1
324,4.20E+14,0,4.8,7,0.42,2
325,4.20E+14,0,296.2,59,0.1,3
326,4.20E+14,0,8.9,0,0,2
327,4.20E+14,0,18.9,0,0,1
